state,clinton,trump,clinton_count,trump_count,total_count,vap,state_name,ev,adult_pop_growth_2011_15,X
AL,34.35794576,62.08309236,729547,1318255,2123372,3600000,Alabama,9,0.021734156,AL
AK,36.55087129,51.28151208,116454,163387,318608,517000,Alaska,3,0.033482632,AK
AZ,45.12602184,48.67161647,1161167,1252401,2573165,4472000,Arizona,11,0.071607165,AZ
AR,33.65312413,60.57410216,380494,684872,1130635,2160000,Arkansas,6,0.020381099,AR
CA,61.7263996,31.61710654,8753788,4483810,14181595,23572000,California,55,0.056435939,CA
CO,48.15651271,43.25097734,1338870,1202484,2780247,3635000,Colorado,9,0.080479676,CO
CT,54.5663011,40.92691438,897572,673215,1644920,2547000,Connecticut,7,0.017797973,CT
DC,90.86382153,4.087474459,282830,12723,311268,464000,District of Columbia,3,0.080870047,DE
DE,53.08597746,41.71274453,235603,185127,443814,678000,Delaware,3,0.05563393,DC
FL,47.82331581,49.02194142,4504975,4617886,9420039,13542000,Florida,29,0.07322737,FL
GA,45.63998336,50.77132605,1877963,2089104,4114732,6865000,Georgia,16,0.052603069,GA
HI,62.22149173,30.03867701,266891,128847,428937,986000,Hawaii,4,0.047246979,HI
ID,27.49201382,59.26143237,189765,409055,690255,1133000,Idaho,4,0.056379763,ID
IL,55.8253667,38.76175307,3090729,2146015,5536424,8887000,Illinois,20,0.013323942,IL
IN,37.77483969,56.94003345,1033126,1557286,2734958,4775000,Indiana,11,0.024577589,IN
IA,41.74048917,51.14732722,653669,800983,1566031,2264000,Iowa,6,0.024450595,IA
KS,36.05237073,56.65458181,427005,671018,1184402,2038000,Kansas,6,0.020848352,KS
KY,32.68218833,62.51963855,628854,1202971,1924149,3286000,Kentucky,8,0.019419418,KY
LA,38.4495661,58.08868465,780154,1178638,2029032,3343000,Louisiana,8,0.028718929,LA
ME,47.83020268,44.86975333,357735,335593,747927,1054000,Maine,4,0.013199618,ME
MD,60.32574424,33.90930473,1677928,943169,2781446,4096000,Maryland,10,0.039387467,MD
MA,60.00506459,32.80835814,1995196,1090893,3325046,4700000,Massachusetts,11,0.043379274,MA
MI,47.27453095,47.49756422,2268839,2279543,4799284,7317000,Michigan,16,0.017795558,MI
MN,46.44491857,44.92478809,1367716,1322951,2944813,3915000,Minnesota,10,0.03389738,MN
MS,40.11478827,57.94103809,485131,700714,1209357,2203000,Mississippi,6,0.016699929,MS
MO,38.13523084,56.77234784,1071068,1594511,2808605,4525000,Missouri,10,0.020360473,MO
MT,35.74576534,56.16849745,177709,279240,497147,779000,Montana,3,0.039549137,MT
NE,33.69875638,58.74735113,284494,495961,844227,1330000,Nebraska,5,0.031301715,NE
NV,47.91782368,45.50069532,539260,512058,1125385,1869000,Nevada,6,0.078723137,NV
NH,46.82626267,46.45866698,348526,345790,744296,1022000,New Hampshire,4,0.027354774,NH
NJ,55.45308445,41.35038665,2148278,1601933,3874046,5944000,New Jersey,14,0.026680111,NJ
NM,48.25564718,40.04251433,385234,319667,798319,1463000,New Mexico,5,0.016250268,NM
NY,59.00604459,36.51558845,4556124,2819534,7721453,13302000,New York,29,0.026732983,NY
NC,46.17286617,49.8280947,2189316,2362631,4741564,7030000,North Carolina,15,0.052033653,NC
ND,27.22673946,62.95562783,93758,216794,344360,523000,North Dakota,3,0.094270388,ND
OH,43.55807628,51.68765068,2394164,2841005,5496487,8658000,Ohio,18,0.015034921,OH
OK,28.93168028,65.32286482,420375,949136,1452992,2748000,Oklahoma,7,0.033154616,OK
OR,50.071852,39.09403518,1002106,782403,2001336,2832000,Oregon,7,0.05253463,OR
PA,47.46494919,48.18333631,2926441,2970733,6165478,9677000,Pennsylvania,20,0.01307409,PA
RI,54.40660657,38.8980575,252525,180543,464144,768000,Rhode Island,4,0.016216099,RI
SC,40.67341979,54.93933269,855373,1155389,2103027,3512000,South Carolina,9,0.057210779,SC
SD,31.73742816,61.53075038,117458,227721,370093,613000,South Dakota,3,0.042225644,SD
TN,34.716332800000004,60.72203369,870695,1522925,2508027,4787000,Tennessee,11,0.038986467,TN
TX,43.23525798,52.23468558,3877868,4685047,8969226,16302000,Texas,38,0.082473266,TX
UT,27.4587027,45.53803594,310676,515231,1131430,1840000,Utah,6,0.075640981,UT
VT,56.67778599,30.26943476,178573,95369,315067,496000,Vermont,3,0.011402581,VT
VA,49.72789199,44.40669663,1981473,1769443,3984631,5844000,Virginia,13,0.04317003,VA
WA,52.53868006,36.83268019,1742718,1221747,3317019,4861000,Washington,12,0.059110402,WA
WV,26.42608091,68.49877454,188794,489371,714423,1467000,West Virginia,5,-0.004105891,WV
WI,46.45384137,47.21818457,1382536,1405284,2976150,4283000,Wisconsin,10,0.02078458,WI
WY,21.87735735,68.17263308,55973,174419,255849,435000,Wyoming,3,0.032295295,WY
